Time,Altitude,Velocity,Accel,Mass,Dyn. Pressure,Mach,Atm. Pressure,Stag. Temp,Flight_Type,Mission_ID
118.0,119827.21,3416.57,9.36,75661.43,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
119.0,123063.79,3510.14,9.74,72910.73,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
120.0,126388.67,3607.67,10.16,70160.03,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
121.0,129805.67,3709.46,10.61,67409.33,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
122.0,133318.94,3815.87,11.11,64658.62,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
123.0,136932.96,3927.3,11.64,61907.92,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
124.0,140652.61,4044.22,12.22,59157.22,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
125.0,144483.23,4167.12,12.86,56406.52,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
126.0,148430.68,4296.63,13.57,53655.81,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
127.0,152501.43,4433.43,14.35,50905.11,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
128.0,156702.64,4578.32,15.22,48154.41,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
129.0,161042.29,4732.27,16.2,45403.71,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
130.0,165529.34,4896.4,17.3,42653.0,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
131.0,170173.9,5072.06,18.56,39902.3,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
132.0,174987.48,5260.92,20.0,37151.6,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
133.0,179983.28,5464.99,21.67,34400.9,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
134.0,185176.64,5686.81,23.63,31650.19,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
135.0,190585.58,5929.62,25.96,28899.49,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
136.0,196231.53,6197.61,28.79,26148.79,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
137.0,202056.16,6257.69,0.94,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
138.0,207880.15,6249.11,0.94,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
139.0,213695.72,6240.54,0.94,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
140.0,219502.88,6231.99,0.94,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
141.0,225301.65,6223.45,0.93,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
142.0,231092.04,6214.93,0.93,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
143.0,236874.06,6206.42,0.93,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
144.0,242647.73,6197.93,0.93,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
145.0,248413.07,6189.46,0.93,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
146.0,254170.08,6181.0,0.93,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
147.0,259918.78,6172.55,0.92,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
148.0,265659.19,6164.12,0.92,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
149.0,271391.31,6155.71,0.92,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
150.0,277115.16,6147.31,0.92,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
151.0,282830.76,6138.93,0.92,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
152.0,288538.12,6130.56,0.92,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
153.0,294237.25,6122.21,0.91,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
154.0,299928.16,6113.87,0.91,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
155.0,305610.88,6105.54,0.91,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
156.0,311285.4,6097.23,0.91,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
157.0,316951.75,6088.94,0.91,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
158.0,322609.94,6080.66,0.91,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
159.0,328259.98,6072.4,0.91,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
160.0,333901.89,6064.15,0.9,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
161.0,339535.67,6055.91,0.9,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
162.0,345161.35,6047.69,0.9,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
163.0,350778.92,6039.48,0.9,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
164.0,356388.42,6031.29,0.9,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
165.0,361989.84,6023.11,0.9,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
166.0,367583.21,6014.95,0.9,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
167.0,373168.53,6006.8,0.89,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
168.0,378745.82,5998.66,0.89,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
169.0,384315.09,5990.54,0.89,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
170.0,389876.35,5982.43,0.89,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
171.0,395429.62,5974.34,0.89,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
172.0,400974.9,5966.26,0.89,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
173.0,406512.22,5958.2,0.88,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
174.0,412041.58,5950.14,0.88,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
175.0,417562.99,5942.11,0.88,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
176.0,423076.48,5934.08,0.88,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
177.0,428582.04,5926.07,0.88,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
178.0,434079.69,5918.07,0.88,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
179.0,439569.45,5910.09,0.88,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
180.0,445051.33,5902.12,0.87,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
181.0,450525.34,5894.17,0.87,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
182.0,455991.48,5886.22,0.87,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
183.0,461449.78,5878.29,0.87,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
184.0,466900.24,5870.38,0.87,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
185.0,472342.88,5862.48,0.87,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
186.0,477777.71,5854.59,0.87,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
187.0,483204.74,5846.71,0.87,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
188.0,488623.98,5838.85,0.86,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
189.0,494035.45,5831.0,0.86,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
190.0,499439.15,5823.16,0.86,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
191.0,504835.1,5815.34,0.86,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
192.0,510223.31,5807.53,0.86,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
193.0,515603.79,5799.73,0.86,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
194.0,520976.55,5791.94,0.86,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
195.0,526341.6,5784.17,0.85,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
196.0,531698.96,5776.41,0.85,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
197.0,537048.63,5768.66,0.85,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
198.0,542390.64,5760.93,0.85,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
199.0,547724.98,5753.21,0.85,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
200.0,553051.67,5745.5,0.85,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
201.0,558370.73,5737.8,0.85,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
202.0,563682.15,5730.12,0.85,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
203.0,568985.97,5722.45,0.84,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
204.0,574282.17,5714.79,0.84,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
205.0,579570.79,5707.15,0.84,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
206.0,584851.82,5699.51,0.84,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
207.0,590125.27,5691.89,0.84,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
208.0,595391.17,5684.28,0.84,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
209.0,600649.52,5676.68,0.84,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
210.0,605900.33,5669.1,0.83,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
211.0,611143.61,5661.53,0.83,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
212.0,616379.37,5653.97,0.83,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
213.0,621607.63,5646.42,0.83,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
214.0,626828.39,5638.88,0.83,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
215.0,632041.67,5631.36,0.83,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
216.0,637247.47,5623.84,0.83,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
217.0,642445.81,5616.34,0.83,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
218.0,647636.69,5608.85,0.83,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
219.0,652820.14,5601.38,0.82,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
220.0,657996.15,5593.91,0.82,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
221.0,663164.73,5586.46,0.82,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
222.0,668325.91,5579.02,0.82,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
223.0,673479.69,5571.58,0.82,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
224.0,678626.07,5564.17,0.82,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
225.0,683765.08,5556.76,0.82,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
226.0,688896.71,5549.36,0.82,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
227.0,694020.99,5541.98,0.81,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
228.0,699137.91,5534.61,0.81,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
229.0,704247.5,5527.25,0.81,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
230.0,709349.76,5519.9,0.81,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
231.0,714444.7,5512.56,0.81,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
232.0,719532.33,5505.23,0.81,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
233.0,724612.66,5497.91,0.81,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
234.0,729685.7,5490.61,0.81,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
235.0,734751.46,5483.32,0.8,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
236.0,739809.96,5476.03,0.8,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
237.0,744861.19,5468.76,0.8,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
238.0,749905.17,5461.5,0.8,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
239.0,754941.92,5454.25,0.8,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
240.0,759971.44,5447.02,0.8,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
241.0,764993.73,5439.79,0.8,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
242.0,770008.82,5432.57,0.8,25506.96,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
